代码	名称	20日涨幅%	60日涨幅%	一年涨幅%	月初至今%	年初至今%	年涨停天	流通股本Z	换手Z	流通市值Z	市值增减	市盈(TTM)	市盈(静)	贝塔系数	距5日线%	近日指标提示	短期形态	中期形态	长期形态	开盘%	最高%	最低%	均涨幅%	回头波%	攻击波%	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	货币资金(亿)	存货(亿)	应收账款(亿)	合同负债(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
000001	平安银行	1.03	22.19	40.65	3.07	39.15	1	   81.60亿	          1.19	        957.23亿	        -11.64亿	4.92	4.93	0.63	0.60	平台整理	10	12	12	0.00	0.34	-0.59	-0.25	-0.85	0.09	20241019	19910403	        194.06	--  	--  	57459.88	4904.69	--  	91.46	0.00	87.53	61.53	0.00	4048.80	0.00	0.00	--  	807.15	1115.82	637.13	478.69	183.72	477.44	397.29	397.29	397.48	2398.99	1371.58	-189.13	517695.00	         15763	18.49万	0.24	-12.58	          0.54	1.66	2.04	8.19	1.940㈢	         21.67	          4.16	         12.36	          7.07	          8.54	   8.10㈢	         42.90	         42.90	         35.61	--  	40830	000001	--  	--  	--  	
000002	万 科Ａ	-4.63	35.79	-19.76	0.58	-17.30	5	   64.74亿	          2.18	        560.01亿	          8.35亿	--  	8.42	0.92	0.93	-- -- 	1	12	13	-0.82	2.10	-0.93	0.70	-1.26	1.76	20241031	19910129	        119.31	--  	         22.07	13571.80	2341.20	       1402.39	72.42	10162.76	205.43	83.76	7508.32	797.45	5793.35	98.07	2497.10	254.71	2198.95	1990.00	-146.67	0.74	-154.40	-163.98	-179.43	-144.68	756.73	-48.48	-196.22	627280.00	         10321	8.93万	-231.73	-24.25	          0.44	-21.29	0.47	0.00	-1.510㈢	         19.62	          2.13	          6.34	         -0.41	         17.25	  -7.66㈢	          9.50	         -6.67	         -7.46	3.69	131097	000002	--  	--  	--  	
000004	国华网安	-6.95	55.38	5.87	0.34	12.90	21	    0.87亿	          4.78	         15.80亿	          0.04亿	--  	--  	0.84	-0.38	-- -- 	10	10	2	-0.33	0.55	-0.72	-0.05	-0.38	0.89	20241204	19910114	          1.32	--  	--  	3.85	1.60	         -0.03	59.25	2.87	0.02	0.13	2.01	0.64	0.02	1.72	0.44	12.32	0.76	0.21	-0.37	0.00	-0.41	-0.37	-0.36	-0.33	-12.18	-0.24	-0.30	43880.00	          1978	3.60万	-1.78	-5.78	         15.09	-101.21	31.76	0.00	-0.270㈢	          1.21	          9.31	         -9.20	         -0.18	         41.54	 -22.43㈢	         72.96	        -48.81	        -49.25	0.23	298	000004	--  	--  	--  	
000006	深振业Ａ	-4.41	117.15	93.63	2.58	98.69	10	    8.51亿	          4.87	         77.57亿	          1.75亿	--  	--  	0.65	0.00	MACD死叉	10	8	6	-0.11	2.89	-1.33	1.45	-1.41	2.82	20241031	19920427	         13.50	--  	--  	208.89	64.49	          3.61	67.40	166.86	0.62	0.00	86.47	26.58	129.41	0.48	21.42	4.84	48.28	44.58	-6.24	0.71	-6.23	-6.32	-5.24	-5.25	24.36	1.08	-12.71	68571.00	         12405	11.31万	-42613.00	482.14	          1.91	113.97	2.55	0.00	-0.390㈢	          4.78	          0.36	          1.80	          0.08	         30.87	  -8.12㈢	          7.66	        -12.93	        -13.10	--  	416	000006	--  	--  	--  	
000007	全新好	-2.51	55.37	52.48	1.66	51.54	12	    2.13亿	          3.52	         15.70亿	          0.66亿	88.03	69.25	0.72	2.07	KDJ死叉	1	10	3	-0.97	2.64	-0.97	1.11	0.00	3.65	20241120	19920413	          3.46	--  	--  	3.32	1.29	          0.11	57.96	2.14	0.46	0.00	1.26	1.13	0.37	0.17	0.02	1.57	1.54	1.25	0.05	0.00	0.04	0.02	0.03	0.04	-3.17	0.21	-0.81	10917.00	         19489	14.38万	-70.72	0.60	         19.84	124.22	16.58	0.00	0.010㈢	          0.37	          0.45	         -0.91	          0.06	         38.81	   2.46㈢	         18.97	          3.56	          1.06	--  	74	000007	--  	--  	--  	
000008	神州高铁	21.40	66.17	37.09	30.04	39.41	10	   16.24亿	         16.15	         53.42亿	          1.90亿	--  	--  	0.78	-5.19	KDJ死叉	6	6	6	-2.48	4.97	-3.73	0.62	-2.66	6.13	20241203	19920507	         27.16	--  	--  	104.20	33.77	          0.82	66.81	46.68	4.70	1.75	62.15	5.86	8.85	20.12	10.63	26.20	10.90	7.76	-2.25	0.50	-1.94	-2.01	-1.80	-2.10	-20.43	-1.23	0.86	91817.00	         17683	5.82万	-23.69	-16.71	          2.65	-72.68	8.20	0.00	-0.070㈢	          1.24	          0.96	         -0.75	         -0.05	         32.41	  -5.33㈢	         28.82	        -20.66	        -18.45	1.01	2160	000008	--  	--  	--  	
000009	中国宝安	-5.16	29.17	-16.01	0.61	-15.21	3	   15.30亿	          1.18	        151.81亿	          1.81亿	54.83	33.58	0.93	0.51	KDJ死叉	10	2	9	-0.20	1.32	-0.41	0.71	-0.60	1.12	20241126	19910625	         25.79	--  	--  	525.43	101.48	        113.76	59.04	300.83	116.13	18.06	156.03	81.24	110.50	51.15	6.93	14.89	146.36	106.41	11.89	-0.17	11.96	9.17	3.85	2.38	57.50	5.59	-16.22	171013.00	          8949	8.88万	-43.20	-40.28	          2.52	45.73	1.75	0.46	0.150㈢	          3.93	          0.58	          2.23	          0.22	         19.31	   3.80㈢	         27.29	          8.12	          6.26	6.10	16595	000009	--  	--  	--  	
000010	美丽生态	13.63	92.13	5.89	12.87	7.55	9	    4.74亿	         16.20	         16.20亿	          0.80亿	--  	--  	0.83	3.01	-- -- 	10	8	2	-0.90	7.46	-1.19	3.58	-5.00	3.32	20241031	19951027	         11.50	--  	--  	30.54	2.19	         -0.16	93.35	22.30	0.08	0.02	28.21	0.10	1.02	15.78	1.31	20.85	3.54	2.95	-0.86	0.00	-0.93	-0.89	-0.59	-0.53	-28.88	-0.17	-0.20	42981.00	         11022	3.77万	63.17	44.10	         18.00	-237.90	11.11	0.00	-0.060㈢	          0.19	          1.81	         -2.51	         -0.01	          7.16	 -27.17㈢	         16.57	        -24.43	        -25.26	--  	145	000010	--  	--  	--  	
000011	深物业A	-5.19	29.95	11.43	1.97	15.20	3	    1.87亿	          6.80	         18.42亿	          0.36亿	24.70	12.57	0.66	0.82	-- -- 	10	8	11	-1.33	1.74	-1.74	0.61	-1.10	2.39	20241031	19920330	          5.96	          0.68	--  	161.17	44.79	          0.32	72.01	142.51	0.55	0.01	94.00	11.71	117.32	5.73	8.49	0.80	13.18	10.51	-0.00	0.00	-0.04	-0.06	0.04	0.08	36.90	-17.53	-15.70	40688.00	          6258	6.16万	-98.45	-45.71	          1.31	-3.35	4.45	3.19	0.010㈢	          7.51	          0.14	          6.19	         -2.94	         27.79	   0.08㈢	         20.24	         -0.01	         -0.43	0.04	8817	000011	--  	--  	--  	
000012	南 玻Ａ	0.53	17.50	4.83	2.55	6.01	0	   12.91亿	          1.67	         72.80亿	          1.23亿	17.63	10.39	0.62	0.53	KDJ死叉	1	10	11	-0.18	1.25	-0.54	0.71	-0.53	1.26	20241209	19920228	         30.71	         11.09	--  	319.10	140.71	          4.72	54.42	97.05	135.31	23.93	97.49	31.11	19.33	18.18	3.76	5.91	118.37	95.79	8.08	-0.04	8.06	7.73	7.86	7.01	88.25	13.53	-0.04	142015.00	         16900	9.53万	-46.38	-12.19	          1.23	12.80	1.46	4.46	0.260㈢	          4.58	          0.19	          2.87	          0.44	         44.10	   5.59㈢	         19.07	          6.82	          6.53	4.92	14661	000012	--  	--  	--  	
