代码	名称	涨幅%	现价	涨跌	买价	卖价	总量	现量	涨速%	换手%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%	均价	内盘	外盘	内外比	溢价%	买量	卖量	未匹配量	委比%	量涨速%	短换手%	2分钟金额	主力净额	主力净比%	昨成交额	开盘金额	开盘抢筹%	开盘昨比%	开盘昨封比%	开盘换手Z	竞价涨停买	竞价量比	封成比	封单额	流通股(亿)	流通市值	AB股总市值	强弱度%	活跃度	连涨天	昨涨幅%	3日涨幅%	5日涨幅%	10日涨幅%	20日涨幅%	60日涨幅%	一年涨幅%	月初至今%	年初至今%	年涨停天	流通股本Z	换手Z	流通市值Z	市值增减	市盈(TTM)	市盈(静)	贝塔系数	距5日线%	近日指标提示	短期形态	中期形态	长期形态	开盘%	最高%	最低%	均涨幅%	回头波%	攻击波%	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	货币资金(亿)	存货(亿)	应收账款(亿)	合同负债(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
002122	汇洲智能	10.11	5.01	0.46	5.01	--  	1344614	12069	0.00	          6.77	4.52	5.01	4.52	4.55	   109.42	66567.96	  0.32	机床制造	浙江	10.77	4.95	1056624	287990	  3.67	0.00	404268	0	--  	0.00	          0.62	          0.13	604.66	0.00	   0.00	147693.98	1458.60	0.00	0.99	--  	          0.24	--  	0.58	0.30	20253.83	         19.88	         99.58亿	        100.21亿	  9.50	   3756	1	-1.09	-1.96	11.33	39.17	66.44	146.80	24.62	54.15	20.14	8	   13.49亿	          9.97	         67.58亿	          9.20亿	108.08	64.64	0.85	3.51	-- -- 	12	8	2	-0.66	10.11	-0.66	8.79	0.00	10.84	20241125	20070328	         20.00	--  	--  	37.17	23.39	          1.78	32.29	16.58	2.89	1.43	11.64	4.13	7.74	1.40	4.74	10.55	6.94	5.51	0.60	-0.02	0.60	0.63	0.69	0.61	-6.60	-0.52	-0.55	87918.00	         15343	7.69万	-45.17	10.43	          4.29	-193.34	14.44	0.00	0.030㈢	          1.17	          0.53	         -0.33	         -0.03	         62.91	   2.94㈢	         20.56	          8.60	          9.04	0.27	1685	002122	--  	--  	--  	
002277	友阿股份	10.08	6.55	0.60	6.55	--  	103258	930	0.00	          0.74	6.55	6.55	6.55	5.95	    59.88	6763.40	  3.24	百货	湖南	0.00	6.55	95066	8192	 11.60	0.00	1696237	0	--  	0.00	          5.94	          0.12	60.92	0.00	   0.00	3565.78	1012.24	0.00	28.39	1.00	          0.16	--  	0.87	16.43	111103.53	         13.94	         91.32亿	         91.32亿	  9.47	    906	7	9.98	33.13	61.33	95.52	87.14	192.42	53.39	95.52	63.34	9	    9.48亿	          1.09	         62.08亿	          8.37亿	109.47	170.63	0.83	19.96	放量上攻	8	8	2	10.08	10.08	10.08	10.08	0.00	0.00	20241216	20090717	         13.94	--  	--  	147.62	67.98	          1.89	52.67	32.20	31.13	2.78	48.37	1.99	25.04	0.20	5.51	7.24	9.51	3.72	0.98	3.46	0.97	0.97	1.14	0.88	39.66	1.47	-1.70	52052.00	         18207	11.93万	31.15	-5.05	          1.34	62.06	9.61	0.27	0.080㈢	          4.88	          0.52	          2.84	          0.11	         46.05	   1.68㈢	         60.86	         10.26	         10.16	--  	2362	002277	--  	--  	--  	
603333	尚纬股份	10.08	5.46	0.50	5.46	--  	272787	1479	0.00	          4.39	4.91	5.46	4.91	4.96	   133.97	14495.97	  0.48	线缆部件及其他	四川	11.09	5.31	160784	112003	  1.44	0.00	87571	0	--  	0.00	          0.43	          0.07	80.75	0.00	   0.00	16180.92	79.39	0.00	0.49	--  	          0.05	--  	0.70	0.32	4781.38	          6.22	         33.94亿	         33.94亿	 10.44	   1504	1	-1.98	4.59	8.55	16.66	18.18	73.33	13.52	20.79	-4.21	13	    3.32亿	          8.21	         18.15亿	          3.11亿	337.54	150.80	0.79	4.00	-- -- 	12	8	2	-1.01	10.08	-1.01	7.06	0.00	11.20	20241015	20120507	          6.22	--  	--  	32.20	21.08	         -0.02	34.57	22.21	5.99	0.56	9.78	4.43	3.36	10.69	0.14	11.33	11.98	9.68	0.21	-0.02	0.21	0.19	0.19	0.19	3.41	-0.04	-0.98	30498.00	         10897	5.95万	-37.32	-25.34	          1.61	-821.64	2.83	0.20	0.030㈢	          3.39	          1.82	          0.55	         -0.01	         65.48	   0.90㈢	         19.19	          1.77	          1.57	0.54	1156	603333	--  	--  	--  	
002418	康盛股份	10.07	3.06	0.28	3.06	--  	1127296	1061	0.00	          9.92	2.76	3.06	2.73	2.78	--  	33675.39	  2.37	家电零部件	浙江	11.87	2.99	767692	359604	  2.13	0.00	96711	0	--  	0.00	          0.14	          0.04	32.47	0.00	   0.00	10882.09	70.55	0.00	0.65	--  	          0.03	--  	1.09	0.09	2959.36	         11.36	         34.77亿	         34.77亿	  9.46	   2082	1	-2.11	0.66	-2.23	4.08	20.00	55.33	7.75	14.61	9.68	9	    8.22亿	         13.71	         25.17亿	          3.18亿	--  	145.11	0.90	3.73	-- -- 	8	8	2	-0.72	10.07	-1.80	7.55	0.00	12.09	20241026	20100601	         11.36	--  	--  	27.04	15.13	          1.71	37.73	15.81	4.22	1.29	8.36	1.70	1.80	4.46	0.18	4.93	17.20	15.68	-0.10	0.01	-0.13	-0.14	-0.10	-0.14	-1.77	-0.17	0.67	52506.00	         15663	4.79万	-134.71	5.21	          2.30	-205.43	2.02	0.00	-0.010㈢	          1.33	          0.43	         -0.16	         -0.01	         55.96	  -0.65㈢	          8.80	         -0.60	         -0.84	0.18	2697	002418	--  	--  	--  	
002137	实益达	10.07	7.65	0.70	7.65	--  	480234	2723	0.00	         12.11	6.81	7.65	6.77	6.95	   122.85	34698.91	  1.13	LED	深圳	12.66	7.23	252645	227589	  1.11	0.00	107592	0	--  	0.00	          0.51	          0.15	208.31	0.00	   0.00	15449.50	206.27	0.59	1.34	--  	          0.09	--  	2.38	0.22	8230.79	          3.96	         30.33亿	         44.18亿	  9.46	   3344	2	1.02	4.22	-1.93	-0.26	13.84	54.54	8.82	2.27	10.23	3	    3.36亿	         14.29	         25.71亿	          4.04亿	1389.08	383.76	0.85	4.94	-- -- 	10	8	2	-2.01	10.07	-2.59	4.03	0.00	13.00	20241029	20070613	          5.78	--  	--  	19.19	15.40	          0.64	16.45	5.95	2.57	0.31	2.85	0.65	1.27	1.53	0.08	9.04	4.52	3.52	0.45	0.13	0.46	0.40	0.27	0.18	-0.24	0.62	-0.03	47326.00	          7102	5.43万	-21.91	0.41	          2.87	71.38	9.77	0.00	0.050㈢	          2.67	          1.56	         -0.04	          0.11	         80.24	   1.75㈢	         22.07	          9.98	          8.80	0.22	709	002137	--  	--  	--  	
603421	鼎信通讯	10.07	7.87	0.72	7.87	--  	357571	715	0.00	          5.48	7.18	7.87	7.11	7.15	--  	27155.83	  2.58	其他通信设备	山东	10.63	7.59	197962	159609	  1.24	0.00	56604	0	--  	0.00	          0.16	          0.04	56.27	0.00	   0.00	12269.34	879.19	-0.27	7.17	19.33	          0.43	--  	36.55	0.16	4454.73	          6.52	         51.33亿	         51.33亿	 10.43	   1637	2	10.00	16.08	12.76	18.17	26.53	41.55	-18.53	25.31	-15.74	10	    2.85亿	         12.55	         22.42亿	          4.70亿	95.23	35.54	1.11	12.43	KDJ金叉	1	12	2	0.42	10.07	-0.56	6.15	0.00	10.69	20241101	20161011	          6.52	--  	--  	52.61	33.51	--  	36.31	36.45	12.23	0.76	16.79	6.38	13.18	13.98	0.87	9.76	22.54	13.74	-0.32	0.00	-0.33	-0.28	-0.28	-0.29	14.35	0.28	-0.92	29948.00	          9514	7.49万	-152.84	3.52	          1.53	181.85	2.28	0.85	-0.040㈢	          5.14	          1.50	          2.20	          0.04	         63.69	  -0.85㈢	         39.04	         -1.42	         -1.26	3.62	4356	603421	--  	--  	--  	
000016	深康佳Ａ	10.06	5.47	0.50	5.47	--  	1255300	3460	0.00	          7.86	4.89	5.47	4.84	4.97	--  	65805.49	  1.31	电视	深圳	12.68	5.24	642270	613030	  1.05	0.00	275502	0	--  	0.00	          0.27	          0.07	189.26	0.00	   0.00	26467.64	168.51	0.20	0.64	--  	          0.03	--  	2.07	0.22	15069.96	         15.97	         87.33亿	        131.71亿	  9.45	   4050	2	2.26	7.89	-1.79	4.79	-1.44	110.38	38.83	8.75	31.17	21	   10.73亿	         11.70	         58.68亿	         12.04亿	--  	--  	0.93	7.05	-- -- 	1	10	2	-1.61	10.06	-2.62	5.43	0.00	13.02	20241127	19920327	         24.08	          8.11	--  	325.31	40.43	          2.01	86.95	130.06	50.60	10.30	177.10	40.02	30.25	16.45	5.64	5.02	81.20	76.11	-18.59	0.53	-18.61	-18.65	-16.06	-17.17	-1.08	-3.91	-28.62	180278.00	         10452	5.72万	-124.67	-45.42	          3.26	-33.69	1.62	0.00	-0.670㈢	          1.68	          0.21	         -0.04	         -0.16	         12.43	 -39.73㈢	          6.27	        -22.90	        -22.97	3.12	14106	000016	--  	--  	--  	
000530	冰山冷热	10.06	7.44	0.68	7.44	--  	2029542	779	0.00	         33.82	6.53	7.44	6.39	6.76	    49.75	143865.16	  2.15	制冷空调设备	辽宁	15.53	7.09	1010292	1019250	  0.99	0.00	54424	0	--  	0.00	          0.03	          0.03	57.96	0.00	   0.00	117504.61	1148.08	-0.14	0.98	--  	          0.41	--  	0.33	0.03	4049.15	          6.00	         44.64亿	         62.74亿	  9.45	   4360	1	-6.76	-0.53	20.39	33.57	39.07	101.08	40.91	36.76	40.12	5	    4.29亿	         47.30	         31.93亿	          5.73亿	79.09	115.44	0.76	4.06	KDJ死叉	8	8	2	-3.40	10.06	-5.47	4.88	0.00	16.43	20241212	19931208	          8.43	          2.42	--  	76.86	31.18	          0.57	58.70	49.20	12.31	2.09	37.25	7.47	12.95	17.91	5.17	7.17	37.15	30.83	1.20	0.21	1.20	0.97	0.95	0.71	6.66	-0.45	-0.72	59490.00	         11273	8.39万	31.57	3.12	          2.01	-138.53	1.69	0.44	0.110㈢	          3.70	          0.85	          0.79	         -0.05	         40.57	   3.03㈢	         17.00	          3.22	          2.62	1.22	4323	000530	--  	--  	--  	
603682	锦和商管	10.06	5.69	0.52	5.69	--  	316380	587	0.00	          6.70	5.10	5.69	5.07	5.17	    53.53	17287.52	  0.82	商业物业经营	上海	11.99	5.46	173164	143216	  1.21	0.00	95114	0	--  	0.00	          0.15	          0.05	33.40	0.00	   0.00	24954.49	304.57	0.59	1.22	--  	          0.30	--  	0.28	0.30	5411.99	          4.72	         26.89亿	         26.89亿	 10.42	   2203	1	-8.17	-8.96	10.27	18.79	23.43	61.19	-2.24	19.04	3.08	6	    1.98亿	         15.94	         11.29亿	          2.46亿	59.55	24.72	0.99	0.18	放量下挫	8	8	11	-1.35	10.06	-1.93	5.61	0.00	12.23	20241031	20200421	          4.72	--  	--  	56.56	10.54	          0.61	80.29	5.11	0.03	0.03	9.11	2.69	0.00	1.43	0.18	6.02	7.75	5.62	-0.06	0.01	0.35	0.25	0.38	-0.03	-1.42	5.36	1.05	19918.00	          9963	5.67万	-60.55	0.94	          2.55	5.01	3.47	4.26	0.080㈢	          2.23	          1.27	         -0.30	          1.14	         18.64	   3.57㈢	         27.41	         -0.81	          3.20	0.01	605	603682	--  	--  	--  	
002449	国星光电	10.06	9.63	0.88	9.63	--  	598804	707	0.00	          9.71	8.60	9.63	8.58	8.75	    66.96	57026.81	  2.28	LED	广东	12.00	9.52	473857	124947	  3.79	0.00	74484	0	--  	0.00	          0.12	          0.03	68.08	0.00	   0.00	17335.92	141.73	0.00	0.82	--  	          0.03	--  	2.14	0.12	7172.81	          6.16	         59.37亿	         59.56亿	  9.45	   2410	2	1.86	6.52	6.41	8.45	12.63	47.48	13.96	4.79	2.34	3	    4.84亿	         12.38	         46.58亿	          5.44亿	75.88	63.19	0.86	6.53	-- -- 	12	6	3	-1.71	10.06	-1.94	8.80	0.00	12.24	20241118	20100716	          6.18	--  	--  	64.44	38.38	          0.00	40.44	40.02	16.14	1.24	22.26	14.33	9.69	6.36	0.48	14.52	26.88	23.73	0.54	0.06	0.65	0.70	0.67	0.35	14.45	1.95	1.08	48560.00	          9960	9.59万	-17.67	1.38	          1.55	30.48	2.22	0.69	0.110㈢	          6.20	          2.35	          2.34	          0.32	         59.56	   1.74㈢	         11.72	          1.99	          2.59	1.45	3941	002449	--  	--  	--  	
