代码	名称(800)	涨幅%	现价	涨跌	买价	卖价	总量	现量	涨速%	换手%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%	均价	内盘	外盘	内外比	溢价%	买量	卖量	未匹配量	委比%	量涨速%	短换手%	2分钟金额	主力净额	主力净比%	昨成交额	开盘金额	开盘抢筹%	开盘昨比%	开盘昨封比%	开盘换手Z	竞价涨停买	竞价量比	封成比	封单额	流通股(亿)	流通市值	AB股总市值	强弱度%	活跃度	连涨天	昨涨幅%	3日涨幅%	5日涨幅%	10日涨幅%	20日涨幅%	60日涨幅%	一年涨幅%	月初至今%	年初至今%	年涨停天	流通股本Z	换手Z	流通市值Z	市值增减	市盈(TTM)	市盈(静)	贝塔系数	距5日线%	近日指标提示	短期形态	中期形态	长期形态	开盘%	最高%	最低%	均涨幅%	回头波%	攻击波%	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	货币资金(亿)	存货(亿)	应收账款(亿)	合同负债(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
000009	中国宝安	-0.93	9.62	-0.09	9.62	9.63	169356	991	0.00	          0.66	9.71	9.75	9.58	9.71	    48.29	16334.79	  0.73	电池化学品	深圳	1.75	9.65	87279	82077	  1.06	0.00	997	157	--  	21.62	          0.79	          0.02	95.32	0.00	   0.00	30291.56	44.96	0.00	0.15	--  	          0.00	--  	1.16	--  	--  	         25.51	        245.45亿	        248.12亿	  0.37	   3533	-2	-2.41	-3.02	-1.94	-4.46	-6.51	25.75	-18.54	-2.43	-17.78	3	   15.30亿	          1.11	        147.22亿	         -2.32亿	54.05	33.11	0.93	-1.94	-- -- 	1	6	9	0.00	0.41	-1.34	-0.62	-1.33	0.42	20241126	19910625	         25.79	--  	--  	525.43	101.48	        113.76	59.04	300.83	116.13	18.06	156.03	81.24	110.50	51.15	6.93	14.89	146.36	106.41	11.89	-0.17	11.96	9.17	3.85	2.38	57.50	5.59	-16.22	171013.00	          8949	8.61万	-43.20	-40.28	          2.45	44.35	1.70	0.46	0.150㈢	          3.93	          0.58	          2.23	          0.22	         19.31	   3.80㈢	         27.29	          8.12	          6.26	6.10	16595	000009	--  	--  	--  	
000021	深科技	-2.38	19.24	-0.47	19.23	19.24	351596	3193	0.00	          2.25	19.68	19.75	19.13	19.71	    34.05	68062.91	  0.75	消费电子组件	深圳	3.15	19.36	188854	162742	  1.16	0.00	1402	742	--  	1.34	          1.04	          0.08	614.34	0.00	   0.00	90839.33	113.55	-0.09	0.13	--  	          0.01	--  	0.47	--  	--  	         15.60	        300.23亿	        300.26亿	 -1.09	   4494	-2	-1.89	-3.80	-3.36	-7.01	-3.46	46.87	14.73	-4.56	19.65	5	    9.34亿	          3.76	        179.79亿	         -7.33亿	35.79	47.72	1.04	-2.88	-- -- 	1	12	2	-0.15	0.20	-2.94	-1.78	-2.58	0.58	20241203	19940202	         15.61	--  	--  	291.54	115.64	         19.73	53.57	167.24	49.81	3.92	132.46	90.31	29.95	36.57	6.47	23.37	108.52	90.50	9.53	0.13	9.68	8.12	6.61	6.17	60.78	19.17	0.06	216066.00	          4325	8.32万	48.12	-1.09	          2.60	15.66	2.77	0.66	0.420㈢	          7.41	          1.50	          3.89	          1.23	         39.66	   5.72㈢	         16.60	          8.78	          7.48	2.56	17241	000021	--  	--  	--  	
000027	深圳能源	0.61	6.60	0.04	6.59	6.60	153922	890	0.00	          0.32	6.56	6.65	6.55	6.56	    11.08	10170.74	  0.73	火力发电	深圳	1.52	6.61	78686	75236	  1.05	0.00	388	1379	--  	-18.28	          0.62	          0.02	58.74	0.00	   0.00	18235.04	65.42	0.00	0.36	--  	          0.01	--  	1.30	--  	--  	         47.57	        313.99亿	        313.99亿	  1.91	   2809	1	-2.38	-1.34	-1.34	-1.05	-3.51	20.88	8.55	-0.31	4.59	1	   11.88亿	          1.30	         78.43亿	          1.90亿	27.28	15.25	0.82	-0.75	MACD死叉	14	5	14	0.00	1.37	-0.15	0.76	-0.75	0.76	20241126	19930903	         47.57	--  	--  	1635.67	476.27	        100.26	64.75	400.26	631.98	203.76	353.43	92.78	14.83	148.34	12.95	46.59	304.15	237.13	35.64	6.97	35.77	27.41	21.25	20.32	149.44	74.52	16.01	125672.00	          9456	6.24万	-29.79	3.61	          1.04	4.21	1.03	2.13	0.380㈢	          6.33	          0.98	          3.14	          1.57	         29.12	   4.46㈢	         22.03	         11.72	          9.01	1.01	12200	000027	--  	--  	--  	
000032	深桑达Ａ	-1.27	17.93	-0.23	17.92	17.93	148318	1339	0.11	          2.30	18.29	18.31	17.79	18.16	--  	26771.08	  0.84	其他专业工程	深圳	2.86	18.05	87389	60929	  1.43	0.00	64	254	--  	-21.57	          0.71	          0.06	240.08	0.00	   0.00	37055.76	114.31	-0.32	0.31	--  	          0.02	--  	0.94	--  	--  	          6.45	        115.61亿	        204.04亿	  0.03	   3597	-3	-3.15	-4.73	-1.64	-4.98	-2.03	37.60	-20.34	-3.91	-14.90	5	    4.04亿	          3.67	         72.39亿	         -2.62亿	43.71	62.69	0.98	-2.77	KDJ死叉	10	8	13	0.72	0.83	-2.04	-0.61	-2.08	0.79	20241030	19931028	         11.38	--  	--  	658.05	60.57	         54.17	82.56	546.45	48.66	10.11	454.88	90.96	14.06	127.82	32.18	34.19	484.22	440.00	3.31	1.19	3.40	0.33	-1.27	-3.41	11.75	-23.63	-4.29	62751.00	          6434	11.54万	53.07	25.21	          3.37	-8.63	0.42	0.61	-0.110㈢	          5.32	          3.00	          1.03	         -2.08	          9.21	  -2.09㈢	          9.13	          0.68	          0.07	15.70	23355	000032	--  	--  	--  	
000034	神州数码	-1.93	33.46	-0.66	33.46	33.47	156174	1296	-0.02	          2.83	33.92	34.12	33.27	34.12	    18.81	52615.11	  0.75	其他云服务	深圳	2.49	33.69	82349	73825	  1.12	0.00	66	19	--  	0.72	          0.86	          0.06	433.82	0.00	   0.00	86038.11	131.61	-0.23	0.15	--  	          0.01	--  	0.90	--  	--  	          5.53	        184.95亿	        224.04亿	 -0.64	   4247	-3	-2.71	-5.67	-4.89	-4.38	-1.85	37.30	7.66	-1.56	13.58	2	    4.58亿	          3.41	        153.36亿	         -4.42亿	18.81	19.50	0.94	-3.29	MACD死叉	1	12	6	-0.59	0.00	-2.49	-1.26	-1.93	0.57	20241209	19940509	          6.70	--  	--  	449.69	93.29	          7.25	77.64	357.71	7.21	6.03	302.63	47.01	141.35	120.60	34.58	41.97	915.71	874.57	10.79	-0.46	10.90	9.16	8.94	8.61	41.64	21.67	-8.41	79369.00	          5775	19.32万	5.04	8.81	          2.42	10.34	0.24	1.28	1.380㈢	         13.83	          6.27	          6.22	          3.24	         20.74	   9.58㈢	          4.49	          1.18	          1.00	2.50	6174	000034	--  	--  	--  	
000039	中集集团	-0.87	7.97	-0.07	7.97	7.98	235820	802	0.00	          1.02	8.02	8.09	7.93	8.04	    17.63	18862.04	  0.88	金属制品	深圳	1.99	8.00	140714	95106	  1.48	0.00	546	1243	--  	12.81	          0.51	          0.01	63.87	0.00	   0.00	21917.19	49.87	0.00	0.23	--  	          0.00	--  	0.39	--  	--  	         23.01	        183.42亿	        183.52亿	  0.43	   3836	-2	-1.47	-2.33	-1.37	-3.40	-7.65	15.01	1.53	-1.97	4.45	0	   20.26亿	          1.16	        161.50亿	         -3.77亿	24.72	102.92	0.58	-1.36	空头排列	10	2	10	-0.25	0.62	-1.37	-0.50	-1.48	0.50	20241114	19940408	         53.93	--  	         30.90	1808.54	508.39	        163.68	62.84	1078.80	397.39	59.80	850.03	240.19	206.03	333.98	173.62	43.29	1289.71	1137.02	42.19	0.77	42.85	27.26	18.28	16.92	325.17	16.10	18.31	80898.00	         25049	19.96万	268.87	35.58	          0.92	26.69	0.33	0.12	0.340㈢	          8.67	          0.80	          6.03	          0.30	         28.11	   3.60㈢	         11.84	          3.27	          2.11	18.21	49988	000039	--  	--  	--  	
000050	深天马Ａ	-0.86	9.24	-0.08	9.24	9.25	164095	1055	0.11	          0.67	9.29	9.37	9.21	9.32	--  	15220.74	  0.62	面板	深圳	1.72	9.28	92563	71532	  1.29	0.00	206	1084	--  	-30.51	          0.62	          0.02	97.48	0.00	   0.00	21047.65	72.55	0.00	0.34	--  	          0.01	--  	1.60	--  	--  	         24.58	        227.09亿	        227.10亿	  0.44	   3486	-3	-1.69	-2.74	0.11	-0.64	-2.42	37.91	-10.12	4.88	-13.24	2	   11.92亿	          1.38	        110.12亿	         -1.97亿	--  	--  	0.85	-1.49	MACD死叉	10	8	9	-0.32	0.54	-1.18	-0.43	-1.39	0.33	20241213	19950315	         24.58	--  	--  	802.63	274.72	         17.98	63.53	210.92	458.62	23.70	220.57	68.98	43.03	82.46	3.98	262.35	240.14	208.08	-4.34	-1.89	-4.38	-4.76	-4.73	-13.11	-13.43	45.01	-14.21	78703.00	         15143	13.99万	73.60	-2.78	          0.83	5.05	0.95	0.00	-0.190㈢	         11.18	         10.67	         -0.55	          1.83	         34.23	  -1.72㈢	         13.35	         -1.81	         -1.98	23.12	24376	000050	--  	--  	--  	
000060	中金岭南	-0.60	4.94	-0.03	4.93	4.94	364889	1557	0.20	          0.98	4.95	4.98	4.91	4.97	    17.32	18023.91	  0.45	铅锌	深圳	1.41	4.94	204271	160618	  1.27	0.00	1107	4243	--  	31.76	          0.49	          0.02	76.92	0.00	   0.00	32127.45	132.46	0.00	0.41	--  	          0.01	--  	1.03	--  	--  	         37.37	        184.62亿	        184.64亿	  0.70	   4064	-2	-2.55	-3.14	-1.60	0.61	1.85	23.81	16.23	1.85	15.97	0	   24.02亿	          1.52	        118.67亿	         -1.12亿	24.08	27.01	0.62	-1.79	KDJ死叉	1	8	8	-0.40	0.20	-1.21	-0.60	-0.80	0.61	20241029	19970123	         37.38	--  	--  	451.54	138.80	         33.79	61.78	179.00	171.98	52.37	122.33	39.25	101.03	7.81	5.83	5.63	456.88	429.95	12.14	0.67	12.11	9.86	7.99	7.73	81.98	9.02	5.69	132866.00	         18080	8.93万	11.66	-13.49	          1.38	20.47	0.40	1.13	0.210㈢	          3.58	          0.15	          2.19	          0.24	         30.74	   5.76㈢	          5.89	          2.66	          2.16	3.36	11553	000060	--  	--  	--  	
000066	中国长城	-3.30	15.55	-0.53	15.54	15.55	1660305	21063	0.19	          5.28	16.00	16.04	15.38	16.08	--  	259455.23	  0.97	其他IT设备	深圳	4.10	15.63	812930	847375	  0.96	0.00	350	2559	--  	61.34	          1.13	          0.20	3275.32	0.00	   0.00	297356.70	778.08	0.00	0.26	--  	          0.03	--  	0.64	--  	--  	         31.47	        489.33亿	        501.61亿	 -2.00	   4744	-3	-4.23	-7.66	-7.66	-10.07	-11.80	88.72	37.13	-7.55	53.65	10	   19.31亿	          8.60	        300.32亿	        -17.10亿	--  	--  	0.90	-5.18	空头排列	1	10	12	-0.50	-0.25	-4.35	-2.80	-3.05	1.11	20241212	19970626	         32.26	--  	--  	339.37	120.11	         11.91	61.10	207.46	42.67	7.22	119.68	44.90	77.70	57.95	8.03	45.93	96.06	80.32	-5.83	-1.46	-6.23	-6.55	-6.88	-7.12	31.96	-8.71	1.41	517675.00	          3731	5.80万	17.24	19.27	          4.18	-57.56	5.22	0.00	-0.210㈢	          3.72	          1.42	          0.99	         -0.27	         35.39	  -5.73㈢	         16.38	         -6.07	         -6.82	8.29	14660	000066	--  	--  	--  	
000155	川能动力	-2.17	12.15	-0.27	12.15	12.16	288822	2450	0.00	          1.96	12.46	12.50	12.05	12.42	    26.71	35340.16	  0.67	风力发电	四川	3.62	12.24	167538	121284	  1.38	0.00	114	129	--  	-7.02	          0.89	          0.07	297.67	0.00	   0.00	70740.00	178.55	0.00	0.25	--  	          0.02	--  	1.33	--  	--  	         14.76	        179.32亿	        224.31亿	 -0.88	   3939	-1	1.97	-0.41	-2.02	1.42	9.16	31.63	-0.41	11.57	-7.47	4	    7.72亿	          3.74	         93.77亿	         -4.98亿	26.56	28.75	0.87	-0.65	阶段放量	8	8	11	0.32	0.64	-2.98	-1.45	-2.80	0.83	20241206	20000926	         18.46	--  	--  	251.24	101.83	         23.22	50.23	96.38	79.64	45.57	45.83	55.91	2.74	22.63	0.10	70.83	22.77	10.49	7.47	-0.00	7.43	6.46	6.30	6.15	10.06	12.39	20.27	117134.00	          6589	8.01万	11.69	-7.02	          2.20	18.11	9.85	1.29	0.390㈢	          5.52	          3.84	          0.54	          0.67	         40.53	   6.18㈢	         53.94	         32.81	         28.36	0.16	2024	000155	--  	--  	--  	
