代码,名称,细分行业,当前价格,市盈率(TTM),净资产收益率(%),股息率(%),涨跌位,beta系数,流通市值,总市值
603109,神驰机电,电机制造,16.98,19.45,7.26,2.14,26.17449664429531,1.00,12.40亿,35.46亿
605155,西大门,其他家居,10.77,19.53,7.01,1.37,10.016474464579899,0.85,7.92亿,20.63亿
001222,源飞宠物,娱乐用品,16.30,21.58,9.41,1.23,19.718683651804675,0.67,10.83亿,31.12亿
603201,常润股份,其他汽车零部件,17.70,11.69,9.88,3.05,12.65356265356265,1.18,8.68亿,27.93亿
003020,立方制药,化学制剂,18.76,20.41,6.87,3.32,5.5273744971138745,0.80,15.83亿,35.94亿
001282,三联锻造,其他汽车零部件,21.88,23.90,6.82,1.56,17.270531400966178,0.87,8.69亿,34.72亿
603309,维力医疗,医疗耗材,12.49,16.87,9.07,4.04,25.497752087347468,1.14,18.13亿,36.58亿
001230,劲旅环境,固废治理,17.34,15.03,6.27,1.68,11.29695640252262,0.68,9.38亿,23.15亿
603351,威尔药业,原料药,23.80,21.81,6.76,1.27,26.311667971808937,0.82,13.69亿,32.23亿
603137,恒尚节能,装修装饰,11.11,15.55,7.26,1.29,9.44022770398482,1.05,5.08亿,20.32亿
603759,海天股份,水务,7.54,16.31,5.60,3.60,5.3562653562653555,0.90,14.36亿,34.82亿
603966,法兰泰克,能源及重型设备,8.02,19.47,7.76,2.88,17.999999999999996,1.08,14.41亿,28.88亿
605259,绿田机械,其他通用设备,15.30,15.55,8.41,2.34,10.465768799102133,0.92,11.50亿,26.39亿
001296,长江材料,非金属材料,17.04,18.62,5.35,2.86,7.813182016586639,0.56,8.99亿,25.49亿
603725,天安新材,改性塑料,6.83,16.44,10.86,1.77,17.356321839080458,1.15,11.79亿,20.82亿
003025,思进智能,机床制造,15.05,19.19,13.31,1.33,14.313682836632587,0.86,15.14亿,35.61亿
603307,扬州金泉,娱乐用品,36.81,18.31,8.13,3.76,20.12436404748446,0.98,6.26亿,24.99亿
002825,纳尔股份,其他塑料制品,8.10,18.39,7.18,1.71,12.881754111198118,0.72,14.86亿,27.70亿
603158,腾龙股份,底盘与发动机系统,8.19,13.82,10.53,1.93,14.142011834319526,1.09,23.81亿,40.20亿
001326,联域股份,LED,35.11,22.57,7.76,4.22,10.588043655318456,0.85,7.28亿,25.70亿
